nimi;ariregistri_kood;ettevotja_oiguslik_vorm;ettevotja_oigusliku_vormi_alaliik;kmkr_nr;ettevotja_staatus;ettevotja_staatus_tekstina;ettevotja_esmakande_kpv;ettevotja_aadress;asukoht_ettevotja_aadressis;asukoha_ehak_kood;asukoha_ehak_tekstina;indeks_ettevotja_aadressis;ads_adr_id;ads_ads_oid;ads_normaliseeritud_taisaadress;teabesysteemi_link
007 Agent & Partners OÜ;16752073;Osaühing;;;R;Registrisse kantud;05.06.2023;;Regati pst 12;0596;Pirita linnaosa, Tallinn, Harju maakond;11911;2363082;;Harju maakond, Tallinn, Pirita linnaosa, Regati pst 12;https://ariregister.rik.ee/est/company/16752073
007 Autohaus osaühing;11694365;Osaühing;;EE101335276;R;Registrisse kantud;30.07.2009;;Turu tn 34;8151;Tartu linn, Tartu linn, Tartu maakond;51004;3047590;;Tartu maakond, Tartu linn, Tartu linn, Turu tn 34;https://ariregister.rik.ee/est/company/11694365
007Draiv OÜ;17064033;Osaühing;;;R;Registrisse kantud;06.09.2024;;Tööstuse tn 81-24;0614;Põhja-Tallinna linnaosa, Tallinn, Harju maakond;10416;2320820;;Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 81-24;https://ariregister.rik.ee/est/company/17064033
011 HOUSE OÜ;16913932;Osaühing;;EE102709775;R;Registrisse kantud;05.02.2024;;Tööstuse tn 75-71;0614;Põhja-Tallinna linnaosa, Tallinn, Harju maakond;10416;2286871;;Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 75-71;https://ariregister.rik.ee/est/company/16913932
01Arvutiabi OÜ;14112620;Osaühing;;;R;Registrisse kantud;13.09.2016;;Aru tn 19-5;0614;Põhja-Tallinna linnaosa, Tallinn, Harju maakond;10318;2283769;;Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Aru tn 19-5;https://ariregister.rik.ee/est/company/14112620
